Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Larvotto Resources Limited (ASX:LRV),ASX:LRV,Metals & Mining,Materials,1000,Australia,"Australia, NZ and Canada",Australia & NZ
Las Vegas Sands Corp. (NYSE:LVS),NYSE:LVS,Hotel/Gaming,Consumer Discretionary,7990,United States,United States,United States
Lasa Supergenerics Limited (BSE:540702),BSE:540702,Drugs (Pharmaceutical),Health Care,2833,India,Emerging Markets,India
LASACO Assurance Plc (NGSE:LASACO),NGSE:LASACO,Insurance (General),Financials,6300,Nigeria,Emerging Markets,Africa and Middle East
LaSalle Exploration Corp. (TSXV:LSX),TSXV:LSX,Metals & Mining,Materials,1000,Canada,"Australia, NZ and Canada",Canada
LaSalle LOGIPORT REIT (TSE:3466),TSE:3466,R.E.I.T.,Real Estate,6798,Japan,Japan,Japan
Lasco Distributors Limited (JMSE:LASD),JMSE:LASD,Food Wholesalers,Consumer Staples,5140,Jamaica,Emerging Markets,Latin America & Caribbean
Lasco Financial Services Limited (JMSE:LASF),JMSE:LASF,Information Services,Information Technology,7374,Jamaica,Emerging Markets,Latin America & Caribbean
Lasco Manufacturing Limited (JMSE:LASM),JMSE:LASM,Food Processing,Consumer Staples,2000,Jamaica,Emerging Markets,Latin America & Caribbean
"Laser Master International, Inc. (OTCPK:LMTI)",OTCPK:LMTI,Publishing & Newspapers,Industrials,2750,United States,United States,United States
"Laser Tek Taiwan Co.,Ltd (TPEX:6207)",TPEX:6207,Electronics (General),Information Technology,3823,Taiwan,Emerging Markets,Small Asia
LaserBond Limited (ASX:LBL),ASX:LBL,Machinery,Industrials,3470,Australia,"Australia, NZ and Canada",Australia & NZ
Lasertec Corporation (TSE:6920),TSE:6920,Semiconductor Equip,Information Technology,3559,Japan,Japan,Japan
Lassila & Tikanoja Oyj (HLSE:LAT1V),HLSE:LAT1V,Environmental & Waste Services,Industrials,4950,Finland,Developed Europe,EU & Environs
Lassonde Industries Inc. (TSX:LAS.A),TSX:LAS.A,Food Processing,Consumer Staples,2033,Canada,"Australia, NZ and Canada",Canada
"Last One Mile Co.,Ltd. (TSE:9252)",TSE:9252,Business & Consumer Services,Consumer Discretionary,7389,Japan,Japan,Japan
"Laster Tech Co., Ltd. (TWSE:3346)",TWSE:3346,Semiconductor,Information Technology,3674,Taiwan,Emerging Markets,Small Asia
lastminute.com N.V. (SWX:LMN),SWX:LMN,Hotel/Gaming,Consumer Discretionary,7370,Netherlands,Developed Europe,EU & Environs
"LAT Co.,Ltd. (XKON:A311060)",XKON:A311060,Semiconductor,Information Technology,3559,South Korea,Emerging Markets,Small Asia
LATAM Airlines Group S.A. (SNSE:LTM),SNSE:LTM,Air Transport,Industrials,4512,Chile,Emerging Markets,Latin America & Caribbean
"Latch, Inc. (NasdaqGS:LTCH)",NasdaqGS:LTCH,Software (System & Application),Information Technology,7370,United States,United States,United States
Latécoère S.A. (ENXTPA:LAT),ENXTPA:LAT,Aerospace/Defense,Industrials,3728,France,Developed Europe,EU & Environs
Latent View Analytics Limited (NSEI:LATENTVIEW),NSEI:LATENTVIEW,Business & Consumer Services,Industrials,8742,India,Emerging Markets,India
"Latham Group, Inc. (NasdaqGS:SWIM)",NasdaqGS:SWIM,Recreation,Consumer Discretionary,3949,United States,United States,United States
Latin Metals Inc. (TSXV:LMS),TSXV:LMS,Precious Metals,Materials,1000,Canada,"Australia, NZ and Canada",Canada
Latin Resources Limited (ASX:LRS),ASX:LRS,Metals & Mining,Materials,1000,Australia,"Australia, NZ and Canada",Australia & NZ
Latitude Group Holdings Limited (ASX:LFS),ASX:LFS,Financial Svcs. (Non-bank & Insurance),Financials,6141,Australia,"Australia, NZ and Canada",Australia & NZ
Latitude Tree Holdings Berhad (KLSE:LATITUD),KLSE:LATITUD,Furn/Home Furnishings,Consumer Discretionary,2510,Malaysia,Emerging Markets,Small Asia
Latrobe Magnesium Limited (ASX:LMG),ASX:LMG,Metals & Mining,Materials,3350,Australia,"Australia, NZ and Canada",Australia & NZ
Latteno Food Corp. (OTCPK:LATF),OTCPK:LATF,Food Processing,Consumer Staples,6510,Canada,"Australia, NZ and Canada",Canada
Lattice Semiconductor Corporation (NasdaqGS:LSCC),NasdaqGS:LSCC,Semiconductor,Information Technology,3674,United States,United States,United States
Latvian Forest Company AB (publ) (NGM:LATF B),NGM:LATF B,Real Estate (Operations & Services),Real Estate,2400,Sweden,Developed Europe,EU & Environs
Laugfs Gas PLC (COSE:LGL.X0000),COSE:LGL.X0000,Oil/Gas Distribution,Energy,5900,Sri Lanka,Emerging Markets,Small Asia
LAUGFS Power PLC (COSE:LPL.N0000),COSE:LPL.N0000,Green & Renewable Energy,Utilities,4991,Sri Lanka,Emerging Markets,Small Asia
Launch Tech Company Limited (SEHK:2488),SEHK:2488,Auto Parts,Consumer Discretionary,3714,China,Emerging Markets,China
"Launch Technologies Co., Ltd. (TPEX:8420)",TPEX:8420,Recreation,Consumer Discretionary,3949,Taiwan,Emerging Markets,Small Asia
"Laureate Education, Inc. (NasdaqGS:LAUR)",NasdaqGS:LAUR,Education,Consumer Discretionary,8200,United States,United States,United States
Lauren Peso Polska S.A. (WSE:LPS),WSE:LPS,Business & Consumer Services,Industrials,8200,Poland,Developed Europe,EU & Environs
Laurent-Perrier S.A. (ENXTPA:LPE),ENXTPA:LPE,Beverage (Alcoholic),Consumer Staples,2084,France,Developed Europe,EU & Environs
Laurentian Bank of Canada (TSX:LB),TSX:LB,Bank (Money Center),Financials,6020,Canada,"Australia, NZ and Canada",Canada
Laurion Mineral Exploration Inc. (TSXV:LME),TSXV:LME,Precious Metals,Materials,1040,Canada,"Australia, NZ and Canada",Canada
Lauritz.com Group A/S (OM:LAUR),OM:LAUR,Retail (Online),Consumer Discretionary,5960,Denmark,Developed Europe,EU & Environs
Laurus Labs Limited (BSE:540222),BSE:540222,Drugs (Pharmaceutical),Health Care,2833,India,Emerging Markets,India
LAVA Medtech Acquisition Corp. (NasdaqGM:LVAC),NasdaqGM:LVAC,Investments & Asset Management,Financials,9995,United States,United States,United States
Lava Therapeutics B.V. (NasdaqGS:LVTX),NasdaqGS:LVTX,Drugs (Biotechnology),Health Care,2836,Netherlands,Developed Europe,EU & Environs
Lavastone Ltd (MUSE:LAVA.I0000),MUSE:LAVA.I0000,Real Estate (Operations & Services),Real Estate,6512,Mauritius,Emerging Markets,Africa and Middle East
Lavena AD (BUL:LAV),BUL:LAV,Household Products,Consumer Staples,2844,Bulgaria,Emerging Markets,Eastern Europe & Russia
Lavide Holding N.V. (ENXTAM:LVIDE),ENXTAM:LVIDE,Computer Services,Information Technology,7370,Netherlands,Developed Europe,EU & Environs
Lavipharm S.A. (ATSE:LAVI),ATSE:LAVI,Drugs (Pharmaceutical),Health Care,2834,Greece,Developed Europe,EU & Environs
Lavvi Empreendimentos Imobiliários S.A. (BOVESPA:LAVV3),BOVESPA:LAVV3,Real Estate (Development),Real Estate,6552,Brazil,Emerging Markets,Latin America & Caribbean
LawFinance Limited (ASX:LAW),ASX:LAW,Financial Svcs. (Non-bank & Insurance),Financials,6100,Australia,"Australia, NZ and Canada",Australia & NZ
